metric,pair,old_value,corrected_value,absolute_change,percent_change,reason_for_change
覆盖率,binance/okx,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口
事件数量,binance/okx,1332.0,1332.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,binance/okx,1636.0,1636.0,0.0,0.0,严格共同分钟
平均价差,bitget/gate,-15.50946185521506,7.9374714144382255,23.446933269653286,151.17825162817786,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
中位价差,bitget/gate,0.0,8.710098875751465,8.710098875751465,,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P95 绝对价差,bitget/gate,106.04805103421869,20.814613621975276,-85.2334374122434,-80.37246944287642,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P99 绝对价差,bitget/gate,176.1905028086614,25.28507344000584,-150.90542936865555,-85.64901453998073,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
最大绝对价差,bitget/gate,189.13239267487296,47.728713994860215,-141.40367868001275,-74.76438947351129,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
覆盖率,bitget/gate,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
事件数量,bitget/gate,153.0,153.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,bitget/gate,1493.0,32.0,-1461.0,-97.85666443402545,严格共同分钟；Gate 排除异常 regime
平均价差,bitget/hyperliquid,36.355348231761866,36.35744575633674,0.0020975245748715565,0.005769507587989635,严格 pair 左闭右开共同窗口
中位价差,bitget/hyperliquid,35.856990103149435,35.85940968620257,0.0024195830531326123,0.006747869930443751,严格 pair 左闭右开共同窗口
P95 绝对价差,bitget/hyperliquid,57.487948531011156,57.48930460404819,0.0013560730370372198,0.002358882290443367,严格 pair 左闭右开共同窗口
P99 绝对价差,bitget/hyperliquid,66.59343532785208,66.59422983137834,0.000794503526265089,0.0011930658365251739,严格 pair 左闭右开共同窗口
最大绝对价差,bitget/hyperliquid,98.95500467687302,98.95500467687302,0.0,0.0,严格 pair 左闭右开共同窗口
覆盖率,bitget/hyperliquid,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口
事件数量,bitget/hyperliquid,58.0,58.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,bitget/hyperliquid,1187.0,1187.0,0.0,0.0,严格共同分钟
平均价差,bitget/okx,37.77291145994717,37.77317035184253,0.0002588918953634334,0.0006853903640389267,严格 pair 左闭右开共同窗口
中位价差,bitget/okx,33.557244538117175,33.557543518759275,0.0002989806420998775,0.0008909570681832051,严格 pair 左闭右开共同窗口
P95 绝对价差,bitget/okx,86.13941237329377,86.14005515466559,0.0006427813718232755,0.0007462105372134629,严格 pair 左闭右开共同窗口
P99 绝对价差,bitget/okx,124.30101112690917,124.30125066693327,0.00023954002409709574,0.00019270963439913576,严格 pair 左闭右开共同窗口
最大绝对价差,bitget/okx,291.3502492644481,291.3502492644481,0.0,0.0,严格 pair 左闭右开共同窗口
覆盖率,bitget/okx,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口
事件数量,bitget/okx,982.0,982.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,bitget/okx,8559.0,8559.0,0.0,0.0,严格共同分钟
平均价差,gate/hyperliquid,30.015649542382143,26.342659790866726,-3.6729897515154164,-12.236915767320475,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
中位价差,gate/hyperliquid,27.380590203832593,26.19992657335996,-1.1806636304726332,-4.312045948181826,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P95 绝对价差,gate/hyperliquid,65.987336049369,43.23199324962444,-22.755342799744568,-34.484408921614836,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P99 绝对价差,gate/hyperliquid,80.59185196355043,49.31738519813089,-31.274466765419533,-38.8059909326369,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
最大绝对价差,gate/hyperliquid,100.24007075769585,78.55590840715246,-21.68416235054339,-21.632229692813347,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
覆盖率,gate/hyperliquid,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
事件数量,gate/hyperliquid,118.0,118.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,gate/hyperliquid,498.0,469.0,-29.0,-5.823293172690763,严格共同分钟；Gate 排除异常 regime
平均价差,gate/okx,41.63414700202331,15.057009777903039,-26.57713722412027,-63.834950726452234,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
中位价差,gate/okx,24.083086648937847,15.036980694677723,-9.046105954260124,-37.56207036965957,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P95 绝对价差,gate/okx,157.52684167436604,28.073645746939214,-129.45319592742683,-82.17850021714264,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P99 绝对价差,gate/okx,201.1456462687057,36.9786927719397,-164.16695349676598,-81.61596163879146,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
最大绝对价差,gate/okx,207.6481374452712,57.60320574362286,-150.04493170164835,-72.25922348626649,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
覆盖率,gate/okx,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
事件数量,gate/okx,200.0,200.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,gate/okx,2865.0,109.0,-2756.0,-96.195462478185,严格共同分钟；Gate 排除异常 regime
平均价差,hyperliquid/okx,-12.685949629451613,-12.687000688614049,-0.0010510591624353083,-0.008285222574076571,严格 pair 左闭右开共同窗口
中位价差,hyperliquid/okx,-11.747773072013782,-11.748456030609635,-0.0006829585958527673,-0.0058135153928002775,严格 pair 左闭右开共同窗口
P95 绝对价差,hyperliquid/okx,30.275771350888807,30.276544804206857,0.0007734533180503433,0.0025546940128666185,严格 pair 左闭右开共同窗口
P99 绝对价差,hyperliquid/okx,38.22988208365859,38.22988919875958,7.115100991939016e-06,1.8611360025565904e-05,严格 pair 左闭右开共同窗口
最大绝对价差,hyperliquid/okx,53.25349399364387,53.25349399364387,0.0,0.0,严格 pair 左闭右开共同窗口
覆盖率,hyperliquid/okx,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口
事件数量,hyperliquid/okx,110.0,110.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,hyperliquid/okx,391.0,391.0,0.0,0.0,严格共同分钟
资金费率理论现金流,long binance / short bitget,-23.38709999999994,-35.522199999999806,-12.135099999999866,-51.88800663613657,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long binance / short gate,193.24290000000008,83.68659999999998,-109.55630000000009,-56.693570630538076,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long binance / short hyperliquid,21.1296720000001,-21.506013999999997,-42.63568600000009,-201.78110668258313,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long binance / short okx,557.0639311133411,550.814955676891,-6.2489754364501096,-1.1217698880559335,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long bitget / short binance,23.38709999999994,35.522199999999806,12.135099999999866,51.88800663613657,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long bitget / short gate,216.63000000000002,90.47999999999998,-126.15000000000005,-58.23293172690765,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long bitget / short hyperliquid,44.51677200000004,-16.46420399999999,-60.98097600000003,-136.9842719054292,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long bitget / short okx,580.4510311133411,578.8752964851832,-1.5757346281578748,-0.27146728038978896,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long gate / short binance,-193.24290000000008,-83.68659999999998,109.55630000000009,56.693570630538076,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long gate / short bitget,-216.63000000000002,-90.47999999999998,126.15000000000005,58.23293172690765,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long gate / short hyperliquid,-172.113228,-5.214915000000004,166.898313,96.97006728617049,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long gate / short okx,363.82103111334106,-58.620902093704984,-422.4419332070461,-116.11256554199663,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long hyperliquid / short binance,-21.1296720000001,21.506013999999997,42.63568600000009,201.78110668258313,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long hyperliquid / short bitget,-44.51677200000004,16.46420399999999,60.98097600000003,136.9842719054292,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long hyperliquid / short gate,172.113228,5.214915000000004,-166.898313,-96.97006728617049,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long hyperliquid / short okx,535.934259113341,15.189489922314003,-520.744769191027,-97.16579232172174,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long okx / short binance,-557.0639311133411,-550.814955676891,6.2489754364501096,1.1217698880559335,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long okx / short bitget,-580.4510311133411,-578.8752964851832,1.5757346281578748,0.27146728038978896,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long okx / short gate,-363.82103111334106,58.620902093704984,422.4419332070461,116.11256554199663,价格与资金费率联合共同窗口；左闭右开
资金费率理论现金流,long okx / short hyperliquid,-535.934259113341,-15.189489922314003,520.744769191027,97.16579232172174,价格与资金费率联合共同窗口；左闭右开
